,nama,komposisi,indikasi
0,Briclot,Ticagrelor90 mg,"Ticagrelor diberikan bersamaan dengan acetylsalicylic acid 75-100 mg diindikasikan untuk pencegahan kejadian trombosis (kematian kardiovaskular, infark miokardium, dan stroke) pada pasien dengan sindrom koroner akut (Acute Coronary Syndromes-ACS)[angina tidak stabil, infark miokardium tanpa elevasi segmen ST (NSTEMI) atau infark miokardium dengan elevasi segmen ST (STEMI)] termasuk pasien yang menjalani intervensi koroner perkutan atau bedah pintas arteri koroner (CABG)."
1,Briclot,Ticagrelor90 mg,"Ticagrelor diberikan bersamaan dengan acetylsalicylic acid 75-100 mg diindikasikan untuk pencegahan kejadian trombosis (kematian kardiovaskular, infark miokardium, dan stroke) pada pasien dengan sindrom koroner akut (Acute Coronary Syndromes-ACS)[angina tidak stabil, infark miokardium tanpa elevasi segmen ST (NSTEMI) atau infark miokardium dengan elevasi segmen ST (STEMI)] termasuk pasien yang menjalani intervensi koroner perkutan atau bedah pintas arteri koroner (CABG)."
2,Bubuk Dan Pelarut Untuk Larutan Injeksi Beriplast P Combiset,Fibrinogen concentrate for Beriplast P (lyophilized powder)174 mgAprotinin solution for Beriplast P (diluent)1 mlHuman thrombin for Beriplast P (lyophilized powder)7.6 mgCalcium chloride solution for Beriplast P (diluent)1 ml,-
3,Bubuk Dan Pelarut Untuk Larutan Injeksi Gastrofer 40mg,Omeprazole40 mg,Merupakan terapi pilihan untuk kondisi berikut yang tidak dapat menerima pengobatan per oral: Ulkus duodenum Ulkus gaster Esofagitis ulseratif Sindrom Zollinger-Ellison
4,Bubuk Dan Pelarut Untuk Larutan Injeksi Kybernin P-500,Antithrombin III human500 IU,Profilaksis dan terapi dari komplikasi tromboembolik pada: Defisiensi antitrombin III herediter Defisiensi antitrombin III didapat
5,Bubuk Untuk Infus DRM,Doripenem500 mg,Doripenem diindikasikan untuk pengobatan pada pasien dewasa dari infeksi-infeksi tersebut dibawah ini: Pneumonia nosokomial (termasuk pneumonia akibat penggunaan ventilator) Komplikasi infeksi intra-abdominal Pertimbangan harus diberikan untuk penatalaksanaan penggunaan antibakteri yang tepat.
6,Bubuk Untuk Infus Fibrion,Streptokinase1500000 IU,Fibrion diindikasikan untuk pasien dewasa: Infark miokard akut Onset dalam 12 jam dengan elevasi segmen ST persisten atau terjadi left bundle-branch block baru. Catatan: Tidak ada pernyataan pada hasil terapi terkait pemberian melebihi jendela waktu yang diindikasikan di atas.
7,Bubuk Untuk Injeksi B-Nervo,Pyridoxine hydrochloride100 mgThiamine mononitrate100 mgCyanocobalamin5000 mcg,"Pengobatan defisiensi vitamin B1, B6, dan B12 pada kasus beri-beri, neuritis perifer, dan neuralgia."
8,Bubuk Untuk Injeksi Beriate 250 IU,Coagulation Factor VIII250 IU,Terapi dan profilaksis perdarahan pada pasien dengan hemofilia A (defisiensi faktor VIII bawaan).
9,Bubuk Untuk Injeksi Beriate 500 IU,Coagulation Factor VIII500 IU,Terapi dan profilaksis perdarahan pada pasien dengan hemofilia A (defisiensi faktor VIII bawaan).
